

*******************************************************************************
Ephemeris / WWW_USER Tue Nov 18 10:42:00 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462871.625000000, A.D. 2031-Jan-05 03:00:00.0000, -3.589981525819974E+07,  1.308794994504195E+08,  5.673252121761782E+07, -2.936267853274132E+01, -6.778057351417812E+00, -2.936739969101209E+00,
2462871.666666667, A.D. 2031-Jan-05 04:00:00.0000, -3.600551110887979E+07,  1.308550632421915E+08,  5.672193369530997E+07, -2.935723600820662E+01, -6.797613212480018E+00, -2.945216591853342E+00,
2462871.708333333, A.D. 2031-Jan-05 05:00:00.0000, -3.611118733943687E+07,  1.308305566401444E+08,  5.671131566015035E+07, -2.935177846537099E+01, -6.817165027926107E+00, -2.953691553046362E+00,
2462871.750000000, A.D. 2031-Jan-05 06:00:00.0000, -3.621684389581525E+07,  1.308059796588513E+08,  5.670066711812457E+07, -2.934630590985372E+01, -6.836712792714253E+00, -2.962164850448454E+00,
2462871.791666667, A.D. 2031-Jan-05 07:00:00.0000, -3.632248072397932E+07,  1.307813323129036E+08,  5.668998807522634E+07, -2.934081834724625E+01, -6.856256501818472E+00, -2.970636481830606E+00,
2462871.833333333, A.D. 2031-Jan-05 08:00:00.0000, -3.642809776991358E+07,  1.307566146169110E+08,  5.667927853745729E+07, -2.933531578311212E+01, -6.875796150228699E+00, -2.979106444966631E+00,
2462871.875000000, A.D. 2031-Jan-05 09:00:00.0000, -3.653369497962254E+07,  1.307318265855008E+08,  5.666853851082714E+07, -2.932979822298679E+01, -6.895331732950852E+00, -2.987574737633194E+00,
2462871.916666667, A.D. 2031-Jan-05 10:00:00.0000, -3.663927229913051E+07,  1.307069682333186E+08,  5.665776800135356E+07, -2.932426567237754E+01, -6.914863245006921E+00, -2.996041357609816E+00,
2462871.958333333, A.D. 2031-Jan-05 11:00:00.0000, -3.674482967448165E+07,  1.306820395750275E+08,  5.664696701506224E+07, -2.931871813676336E+01, -6.934390681435015E+00, -3.004506302678902E+00,
2462872.000000000, A.D. 2031-Jan-05 12:00:00.0000, -3.685036705173974E+07,  1.306570406253089E+08,  5.663613555798683E+07, -2.931315562159472E+01, -6.953914037289441E+00, -3.012969570625746E+00,
